open_time,open,high,low,close,volume,amount,close_time
1679155200000,27226.5800000000000000000000000000,27245.7500000000000000000000000000,27162.7200000000000000000000000000,27244.8600000000000000000000000000,44.85047400,1220508.380000000000000000,1679155500000
1679155500000,27244.8600000000000000000000000000,27341.1700000000000000000000000000,27239.0400000000000000000000000000,27321.4700000000000000000000000000,54.36347400,1483360.100000000000000000,1679155800000
1679155800000,27321.4700000000000000000000000000,27326.8400000000000000000000000000,27262.7800000000000000000000000000,27276.0100000000000000000000000000,22.14612200,604285.610000000000000000,1679156100000
1679156100000,27276.0100000000000000000000000000,27283.4600000000000000000000000000,27239.0200000000000000000000000000,27256.0000000000000000000000000000,19.52540100,532239.820000000000000000,1679156400000
1679156400000,27256.0000000000000000000000000000,27277.3600000000000000000000000000,27240.9700000000000000000000000000,27273.2100000000000000000000000000,16.16237500,440637.120000000000000000,1679156700000
1679156700000,27273.2100000000000000000000000000,27273.2100000000000000000000000000,27127.7400000000000000000000000000,27131.4400000000000000000000000000,70.71465000,1921809.940000000000000000,1679157000000
1679157000000,27131.4400000000000000000000000000,27131.4400000000000000000000000000,26580.0000000000000000000000000000,26789.9300000000000000000000000000,416.68239800,11162180.260000000000000000,1679157300000
1679157300000,26789.9300000000000000000000000000,26923.0000000000000000000000000000,26778.5600000000000000000000000000,26917.1000000000000000000000000000,78.23653700,2101010.470000000000000000,1679157600000
1679157600000,26917.1000000000000000000000000000,27309.1000000000000000000000000000,26896.6500000000000000000000000000,27279.7800000000000000000000000000,353.34860300,9595537.900000000000000000,1679157900000
1679157900000,27279.7800000000000000000000000000,27458.7800000000000000000000000000,27191.8700000000000000000000000000,27317.5200000000000000000000000000,334.05013300,9130537.100000000000000000,1679158200000
1679158200000,27317.5200000000000000000000000000,27380.0400000000000000000000000000,27263.4000000000000000000000000000,27326.9600000000000000000000000000,174.91876000,4781465.970000000000000000,1679158500000
1679158500000,27326.9600000000000000000000000000,27352.4700000000000000000000000000,27273.2900000000000000000000000000,27343.0000000000000000000000000000,182.55091300,4987703.450000000000000000,1679158800000
1679158800000,27343.0000000000000000000000000000,27479.9900000000000000000000000000,27300.4400000000000000000000000000,27372.4200000000000000000000000000,220.93683000,6052799.070000000000000000,1679159100000
1679159100000,27372.4200000000000000000000000000,27384.7400000000000000000000000000,27288.5700000000000000000000000000,27307.7300000000000000000000000000,50.64069600,1383330.320000000000000000,1679159400000
1679159400000,27307.7300000000000000000000000000,27326.1400000000000000000000000000,27252.4100000000000000000000000000,27299.8200000000000000000000000000,41.08812800,1121090.420000000000000000,1679159700000
1679159700000,27299.8200000000000000000000000000,27316.0200000000000000000000000000,27181.7000000000000000000000000000,27233.6100000000000000000000000000,55.79622000,1520023.710000000000000000,1679160000000
1679160000000,27233.6100000000000000000000000000,27305.0600000000000000000000000000,27216.2000000000000000000000000000,27216.2000000000000000000000000000,78.46395300,2140140.900000000000000000,1679160300000
1679160300000,27216.2000000000000000000000000000,27230.3700000000000000000000000000,27087.0300000000000000000000000000,27115.7200000000000000000000000000,145.42721500,3951422.050000000000000000,1679160600000
1679160600000,27115.7200000000000000000000000000,27145.0900000000000000000000000000,26915.4500000000000000000000000000,27059.6100000000000000000000000000,323.48868300,8731899.240000000000000000,1679160900000
1679160900000,27059.6100000000000000000000000000,27171.8800000000000000000000000000,27017.8500000000000000000000000000,27152.8000000000000000000000000000,78.90749900,2138745.650000000000000000,1679161200000
1679161200000,27152.8000000000000000000000000000,27225.8000000000000000000000000000,27139.6100000000000000000000000000,27225.8000000000000000000000000000,109.47168900,2974998.960000000000000000,1679161500000
1679161500000,27225.8000000000000000000000000000,27256.2200000000000000000000000000,27171.3500000000000000000000000000,27225.2900000000000000000000000000,84.68521800,2304931.340000000000000000,1679161800000
1679161800000,27225.2900000000000000000000000000,27288.7800000000000000000000000000,27217.8300000000000000000000000000,27282.2100000000000000000000000000,95.25981700,2597733.850000000000000000,1679162100000
1679162100000,27282.2100000000000000000000000000,27325.7700000000000000000000000000,27268.6300000000000000000000000000,27306.4600000000000000000000000000,25.59533200,698810.080000000000000000,1679162400000
1679162400000,27306.4700000000000000000000000000,27319.3900000000000000000000000000,27227.6100000000000000000000000000,27296.8600000000000000000000000000,92.88500000,2533500.960000000000000000,1679162700000
1679162700000,27296.8600000000000000000000000000,27324.4600000000000000000000000000,27270.1700000000000000000000000000,27298.0200000000000000000000000000,12.52527600,341811.060000000000000000,1679163000000
1679163000000,27298.0200000000000000000000000000,27367.6300000000000000000000000000,27295.3900000000000000000000000000,27312.2800000000000000000000000000,19.19973400,524675.680000000000000000,1679163300000
1679163300000,27312.2800000000000000000000000000,27325.0200000000000000000000000000,27271.0000000000000000000000000000,27292.3000000000000000000000000000,29.91543800,816700.990000000000000000,1679163600000
1679163600000,27292.3000000000000000000000000000,27351.6500000000000000000000000000,27292.3000000000000000000000000000,27293.3700000000000000000000000000,57.84140800,1580964.580000000000000000,1679163900000
1679163900000,27293.3700000000000000000000000000,27335.6500000000000000000000000000,27293.3700000000000000000000000000,27314.0100000000000000000000000000,11.07126200,302445.110000000000000000,1679164200000
1679164200000,27314.0100000000000000000000000000,27317.8000000000000000000000000000,27265.2500000000000000000000000000,27302.2800000000000000000000000000,44.75710500,1220878.530000000000000000,1679164500000
1679164500000,27302.2800000000000000000000000000,27335.7700000000000000000000000000,27242.7400000000000000000000000000,27255.5300000000000000000000000000,39.81665200,1086134.570000000000000000,1679164800000
1679164800000,27255.5300000000000000000000000000,27307.8900000000000000000000000000,27255.5300000000000000000000000000,27304.6100000000000000000000000000,14.84625900,405054.280000000000000000,1679165100000
1679165100000,27304.6100000000000000000000000000,27308.9800000000000000000000000000,27253.5700000000000000000000000000,27270.1100000000000000000000000000,12.56799500,342837.460000000000000000,1679165400000
1679165400000,27270.1100000000000000000000000000,27280.5100000000000000000000000000,27234.7100000000000000000000000000,27274.5300000000000000000000000000,15.41223700,420156.990000000000000000,1679165700000
1679165700000,27274.5300000000000000000000000000,27337.6600000000000000000000000000,27260.3100000000000000000000000000,27316.2300000000000000000000000000,18.90386400,516290.540000000000000000,1679166000000
1679166000000,27316.2300000000000000000000000000,27334.7300000000000000000000000000,27276.8900000000000000000000000000,27328.7200000000000000000000000000,23.37849200,638438.720000000000000000,1679166300000
1679166300000,27328.7200000000000000000000000000,27348.5700000000000000000000000000,27277.6200000000000000000000000000,27282.4900000000000000000000000000,17.03499700,465113.820000000000000000,1679166600000
1679166600000,27282.4900000000000000000000000000,27326.3000000000000000000000000000,27277.3400000000000000000000000000,27310.8300000000000000000000000000,13.25425100,361930.150000000000000000,1679166900000
1679166900000,27310.8300000000000000000000000000,27323.1900000000000000000000000000,27284.5700000000000000000000000000,27284.5700000000000000000000000000,7.09466900,193662.540000000000000000,1679167200000
1679167200000,27284.5700000000000000000000000000,27301.3300000000000000000000000000,27271.6000000000000000000000000000,27288.1600000000000000000000000000,13.93355800,380159.820000000000000000,1679167500000
1679167500000,27288.1600000000000000000000000000,27404.8700000000000000000000000000,27288.1600000000000000000000000000,27377.3700000000000000000000000000,83.27056800,2279670.830000000000000000,1679167800000
1679167800000,27377.3700000000000000000000000000,27404.0500000000000000000000000000,27332.3700000000000000000000000000,27402.5900000000000000000000000000,46.92037800,1283996.850000000000000000,1679168100000
1679168100000,27402.5900000000000000000000000000,27426.8000000000000000000000000000,27358.8700000000000000000000000000,27420.1600000000000000000000000000,55.60868200,1522823.580000000000000000,1679168400000
1679168400000,27420.1600000000000000000000000000,27420.1600000000000000000000000000,27376.2700000000000000000000000000,27393.9400000000000000000000000000,11.29323300,309368.330000000000000000,1679168700000
1679168700000,27393.9400000000000000000000000000,27404.0500000000000000000000000000,27363.1500000000000000000000000000,27391.0700000000000000000000000000,15.31860200,419476.820000000000000000,1679169000000
1679169000000,27391.0700000000000000000000000000,27391.0700000000000000000000000000,27318.0700000000000000000000000000,27321.0800000000000000000000000000,18.14280800,496332.980000000000000000,1679169300000
1679169300000,27321.0800000000000000000000000000,27355.6300000000000000000000000000,27316.2400000000000000000000000000,27328.7500000000000000000000000000,23.24106100,635223.950000000000000000,1679169600000
1679169600000,27328.7500000000000000000000000000,27334.9800000000000000000000000000,27279.5400000000000000000000000000,27302.4000000000000000000000000000,109.49080900,2988457.230000000000000000,1679169900000
1679169900000,27302.4000000000000000000000000000,27320.7300000000000000000000000000,27239.8100000000000000000000000000,27273.0100000000000000000000000000,128.47395100,3504351.950000000000000000,1679170200000
1679170200000,27273.0100000000000000000000000000,27337.0800000000000000000000000000,27272.8500000000000000000000000000,27286.0700000000000000000000000000,211.86672300,5788554.720000000000000000,1679170500000
1679170500000,27286.0700000000000000000000000000,27318.1500000000000000000000000000,27282.6200000000000000000000000000,27312.9600000000000000000000000000,39.44409700,1077041.430000000000000000,1679170800000
1679170800000,27312.9600000000000000000000000000,27361.2800000000000000000000000000,27312.9600000000000000000000000000,27318.0300000000000000000000000000,59.57990800,1628643.310000000000000000,1679171100000
1679171100000,27318.0300000000000000000000000000,27338.0100000000000000000000000000,27285.7200000000000000000000000000,27300.1000000000000000000000000000,57.48850200,1569928.600000000000000000,1679171400000
1679171400000,27300.1000000000000000000000000000,27320.1400000000000000000000000000,27293.5700000000000000000000000000,27308.9700000000000000000000000000,31.84364900,869577.150000000000000000,1679171700000
1679171700000,27308.9700000000000000000000000000,27348.2000000000000000000000000000,27308.9700000000000000000000000000,27344.3100000000000000000000000000,42.68966600,1166921.850000000000000000,1679172000000
1679172000000,27344.3100000000000000000000000000,27407.3400000000000000000000000000,27344.3100000000000000000000000000,27380.5100000000000000000000000000,143.79123100,3938373.210000000000000000,1679172300000
1679172300000,27380.5100000000000000000000000000,27442.1900000000000000000000000000,27357.6200000000000000000000000000,27362.8700000000000000000000000000,135.40625700,3710295.890000000000000000,1679172600000
1679172600000,27362.8700000000000000000000000000,27382.3600000000000000000000000000,27329.5800000000000000000000000000,27337.2100000000000000000000000000,57.47417100,1572762.160000000000000000,1679172900000
1679172900000,27337.2100000000000000000000000000,27358.7500000000000000000000000000,27316.0500000000000000000000000000,27317.4800000000000000000000000000,177.54148500,4855126.960000000000000000,1679173200000
1679173200000,27317.4800000000000000000000000000,27342.6900000000000000000000000000,27314.1600000000000000000000000000,27339.0500000000000000000000000000,52.24302800,1427641.780000000000000000,1679173500000
1679173500000,27339.0500000000000000000000000000,27339.0500000000000000000000000000,27303.8600000000000000000000000000,27324.7800000000000000000000000000,53.48963900,1461264.300000000000000000,1679173800000
1679173800000,27324.7800000000000000000000000000,27335.2200000000000000000000000000,27303.0900000000000000000000000000,27322.8700000000000000000000000000,50.03634700,1366652.380000000000000000,1679174100000
