open_time,open,high,low,close,volume,amount,close_time
1699891200000,36841.9000000000000000000000000000,36885.3100000000000000000000000000,36822.7600000000000000000000000000,36878.8100000000000000000000000000,57.66854800,2125108.060000000000000000,1699891500000
1699891500000,36878.8100000000000000000000000000,36899.0000000000000000000000000000,36850.0000000000000000000000000000,36870.9200000000000000000000000000,60.65697400,2236949.820000000000000000,1699891800000
1699891800000,36870.9200000000000000000000000000,36886.7700000000000000000000000000,36837.4500000000000000000000000000,36875.9600000000000000000000000000,42.81999800,1578340.350000000000000000,1699892100000
1699892100000,36875.9600000000000000000000000000,36924.0000000000000000000000000000,36861.1000000000000000000000000000,36924.0000000000000000000000000000,50.49755600,1863325.830000000000000000,1699892400000
1699892400000,36924.0000000000000000000000000000,36978.8100000000000000000000000000,36912.1200000000000000000000000000,36973.5900000000000000000000000000,48.57842100,1794136.140000000000000000,1699892700000
1699892700000,36973.5900000000000000000000000000,37030.1800000000000000000000000000,36951.1000000000000000000000000000,37010.9700000000000000000000000000,52.75109000,1951140.170000000000000000,1699893000000
1699893000000,37010.9700000000000000000000000000,37014.1900000000000000000000000000,36912.5000000000000000000000000000,36939.3300000000000000000000000000,52.28002400,1932458.750000000000000000,1699893300000
1699893300000,36939.3300000000000000000000000000,36953.3700000000000000000000000000,36871.1000000000000000000000000000,36883.3300000000000000000000000000,44.10435300,1628406.670000000000000000,1699893600000
1699893600000,36883.3300000000000000000000000000,36927.3300000000000000000000000000,36857.7100000000000000000000000000,36899.0100000000000000000000000000,40.69103700,1501122.360000000000000000,1699893900000
1699893900000,36899.0100000000000000000000000000,36933.7300000000000000000000000000,36870.8900000000000000000000000000,36885.3200000000000000000000000000,47.28731400,1745266.130000000000000000,1699894200000
1699894200000,36885.3200000000000000000000000000,36899.3100000000000000000000000000,36839.3900000000000000000000000000,36839.3900000000000000000000000000,44.97482100,1658129.440000000000000000,1699894500000
1699894500000,36839.3900000000000000000000000000,36868.4500000000000000000000000000,36835.5800000000000000000000000000,36857.7400000000000000000000000000,44.46600000,1638816.460000000000000000,1699894800000
1699894800000,36857.7400000000000000000000000000,36863.8900000000000000000000000000,36826.9700000000000000000000000000,36826.9700000000000000000000000000,35.22358200,1297789.460000000000000000,1699895100000
1699895100000,36826.9700000000000000000000000000,36861.0000000000000000000000000000,36821.1000000000000000000000000000,36824.4800000000000000000000000000,42.98993000,1583853.880000000000000000,1699895400000
1699895400000,36824.4800000000000000000000000000,36835.6300000000000000000000000000,36723.1700000000000000000000000000,36745.9800000000000000000000000000,56.08095600,2062314.070000000000000000,1699895700000
1699895700000,36745.9800000000000000000000000000,36790.0700000000000000000000000000,36680.0000000000000000000000000000,36680.0000000000000000000000000000,50.14807000,1842106.760000000000000000,1699896000000
1699896000000,36680.0000000000000000000000000000,36780.0100000000000000000000000000,36623.3600000000000000000000000000,36748.1700000000000000000000000000,55.55549500,2040313.160000000000000000,1699896300000
1699896300000,36748.1700000000000000000000000000,36807.0300000000000000000000000000,36746.2000000000000000000000000000,36781.1800000000000000000000000000,47.79197100,1757434.500000000000000000,1699896600000
1699896600000,36781.1800000000000000000000000000,36808.2900000000000000000000000000,36755.0000000000000000000000000000,36765.2300000000000000000000000000,49.29323000,1812824.220000000000000000,1699896900000
1699896900000,36765.2300000000000000000000000000,36780.0400000000000000000000000000,36718.6100000000000000000000000000,36732.9300000000000000000000000000,43.33294100,1591943.900000000000000000,1699897200000
1699897200000,36732.9300000000000000000000000000,36736.1500000000000000000000000000,36688.3400000000000000000000000000,36690.6700000000000000000000000000,57.34704200,2105224.850000000000000000,1699897500000
1699897500000,36690.6700000000000000000000000000,36690.6800000000000000000000000000,36632.3000000000000000000000000000,36677.1200000000000000000000000000,46.26906600,1696084.820000000000000000,1699897800000
1699897800000,36677.1200000000000000000000000000,36710.8000000000000000000000000000,36635.1900000000000000000000000000,36666.4900000000000000000000000000,52.09195800,1909858.430000000000000000,1699898100000
1699898100000,36666.4900000000000000000000000000,36691.1000000000000000000000000000,36661.5000000000000000000000000000,36670.1000000000000000000000000000,37.07075100,1359783.670000000000000000,1699898400000
1699898400000,36670.1000000000000000000000000000,36728.6600000000000000000000000000,36651.0700000000000000000000000000,36705.5800000000000000000000000000,51.37333700,1885186.250000000000000000,1699898700000
1699898700000,36705.5800000000000000000000000000,36707.9400000000000000000000000000,36605.9500000000000000000000000000,36613.6400000000000000000000000000,47.84310500,1753827.070000000000000000,1699899000000
1699899000000,36613.6400000000000000000000000000,36661.1000000000000000000000000000,36608.6100000000000000000000000000,36637.0100000000000000000000000000,46.85002800,1716548.980000000000000000,1699899300000
1699899300000,36637.0100000000000000000000000000,36703.9600000000000000000000000000,36631.1000000000000000000000000000,36698.1000000000000000000000000000,59.39179700,2177939.790000000000000000,1699899600000
1699899600000,36698.1000000000000000000000000000,36732.0900000000000000000000000000,36684.2800000000000000000000000000,36730.0500000000000000000000000000,43.10255800,1582207.360000000000000000,1699899900000
1699899900000,36730.0500000000000000000000000000,36730.0500000000000000000000000000,36700.0000000000000000000000000000,36713.5000000000000000000000000000,36.73836800,1348844.960000000000000000,1699900200000
1699900200000,36713.5000000000000000000000000000,36771.1000000000000000000000000000,36713.5000000000000000000000000000,36756.2700000000000000000000000000,49.53689000,1820572.750000000000000000,1699900500000
1699900500000,36756.2700000000000000000000000000,36758.0000000000000000000000000000,36730.0000000000000000000000000000,36752.8000000000000000000000000000,38.34387000,1409042.610000000000000000,1699900800000
1699900800000,36752.8000000000000000000000000000,36775.0000000000000000000000000000,36752.7900000000000000000000000000,36767.3300000000000000000000000000,33.06134900,1215520.290000000000000000,1699901100000
1699901100000,36767.3300000000000000000000000000,36786.8400000000000000000000000000,36744.9000000000000000000000000000,36744.9300000000000000000000000000,37.48795400,1378368.800000000000000000,1699901400000
1699901400000,36744.9300000000000000000000000000,36744.9300000000000000000000000000,36691.0400000000000000000000000000,36713.7800000000000000000000000000,28.14017900,1033288.750000000000000000,1699901700000
1699901700000,36713.7800000000000000000000000000,36747.0000000000000000000000000000,36713.0200000000000000000000000000,36747.0000000000000000000000000000,32.98494600,1211636.460000000000000000,1699902000000
1699902000000,36747.0000000000000000000000000000,36767.3000000000000000000000000000,36738.1900000000000000000000000000,36751.1100000000000000000000000000,31.91145700,1172888.820000000000000000,1699902300000
1699902300000,36751.1100000000000000000000000000,36775.0000000000000000000000000000,36751.1100000000000000000000000000,36775.0000000000000000000000000000,33.54288100,1233062.900000000000000000,1699902600000
1699902600000,36775.0000000000000000000000000000,36786.8400000000000000000000000000,36715.2200000000000000000000000000,36777.1400000000000000000000000000,30.93714000,1137674.500000000000000000,1699902900000
1699902900000,36777.1400000000000000000000000000,36777.1400000000000000000000000000,36746.0100000000000000000000000000,36755.0000000000000000000000000000,30.15243500,1108270.610000000000000000,1699903200000
1699903200000,36755.0000000000000000000000000000,36780.8400000000000000000000000000,36747.3300000000000000000000000000,36780.8300000000000000000000000000,41.51701500,1526532.970000000000000000,1699903500000
1699903500000,36780.8300000000000000000000000000,36808.1200000000000000000000000000,36778.0000000000000000000000000000,36808.1200000000000000000000000000,35.16949800,1293986.120000000000000000,1699903800000
1699903800000,36808.1200000000000000000000000000,36819.9900000000000000000000000000,36802.9000000000000000000000000000,36808.4800000000000000000000000000,38.31378700,1410262.260000000000000000,1699904100000
1699904100000,36808.4800000000000000000000000000,36810.4700000000000000000000000000,36784.9700000000000000000000000000,36785.0100000000000000000000000000,22.40101000,824264.280000000000000000,1699904400000
1699904400000,36785.0100000000000000000000000000,36806.8100000000000000000000000000,36778.0000000000000000000000000000,36794.7100000000000000000000000000,33.29031900,1224817.430000000000000000,1699904700000
1699904700000,36794.7100000000000000000000000000,36815.0000000000000000000000000000,36794.7100000000000000000000000000,36814.9900000000000000000000000000,26.90176100,990120.210000000000000000,1699905000000
1699905000000,36814.9900000000000000000000000000,36821.6900000000000000000000000000,36807.3300000000000000000000000000,36821.6900000000000000000000000000,31.92323200,1175188.330000000000000000,1699905300000
1699905300000,36821.6900000000000000000000000000,36844.9900000000000000000000000000,36821.6900000000000000000000000000,36844.9800000000000000000000000000,26.31872700,969334.180000000000000000,1699905600000
1699905600000,36844.9800000000000000000000000000,36874.9900000000000000000000000000,36831.8100000000000000000000000000,36874.9900000000000000000000000000,53.85555200,1984388.510000000000000000,1699905900000
1699905900000,36874.9900000000000000000000000000,36875.0000000000000000000000000000,36832.2000000000000000000000000000,36864.0200000000000000000000000000,50.11348500,1846910.540000000000000000,1699906200000
1699906200000,36864.0200000000000000000000000000,36865.0000000000000000000000000000,36823.1000000000000000000000000000,36825.3800000000000000000000000000,47.72223100,1758078.930000000000000000,1699906500000
1699906500000,36825.3800000000000000000000000000,36834.2100000000000000000000000000,36808.0800000000000000000000000000,36831.0800000000000000000000000000,34.29332900,1262857.260000000000000000,1699906800000
1699906800000,36831.0800000000000000000000000000,36837.8900000000000000000000000000,36813.8900000000000000000000000000,36818.5300000000000000000000000000,34.23980700,1260986.150000000000000000,1699907100000
1699907100000,36818.5300000000000000000000000000,36837.0200000000000000000000000000,36804.9800000000000000000000000000,36811.1200000000000000000000000000,27.08305900,997287.590000000000000000,1699907400000
1699907400000,36811.1200000000000000000000000000,36811.3400000000000000000000000000,36785.4700000000000000000000000000,36785.4700000000000000000000000000,23.81670000,876439.110000000000000000,1699907700000
1699907700000,36785.4700000000000000000000000000,36797.4700000000000000000000000000,36753.0100000000000000000000000000,36756.9100000000000000000000000000,37.26102700,1370498.930000000000000000,1699908000000
1699908000000,36756.9100000000000000000000000000,36818.5900000000000000000000000000,36752.7600000000000000000000000000,36818.5800000000000000000000000000,34.74596900,1278287.030000000000000000,1699908300000
1699908300000,36818.5800000000000000000000000000,36853.7700000000000000000000000000,36781.7500000000000000000000000000,36850.5200000000000000000000000000,59.74780400,2200339.880000000000000000,1699908600000
1699908600000,36850.5200000000000000000000000000,36850.5300000000000000000000000000,36792.3700000000000000000000000000,36824.3800000000000000000000000000,52.39198200,1928906.740000000000000000,1699908900000
1699908900000,36824.3800000000000000000000000000,36833.2500000000000000000000000000,36743.7400000000000000000000000000,36784.0900000000000000000000000000,52.65801200,1936972.700000000000000000,1699909200000
1699909200000,36784.0900000000000000000000000000,36788.7900000000000000000000000000,36700.0000000000000000000000000000,36723.1000000000000000000000000000,55.15580100,2026594.340000000000000000,1699909500000
1699909500000,36723.1000000000000000000000000000,36723.8500000000000000000000000000,36632.3800000000000000000000000000,36679.7600000000000000000000000000,52.66236200,1932331.730000000000000000,1699909800000
1699909800000,36679.7600000000000000000000000000,36689.1800000000000000000000000000,36400.0100000000000000000000000000,36518.6100000000000000000000000000,67.49381300,2471677.140000000000000000,1699910100000
1699910100000,36518.6100000000000000000000000000,36562.4400000000000000000000000000,36371.3700000000000000000000000000,36558.2700000000000000000000000000,39.42294800,1438270.520000000000000000,1699910400000
1699910400000,36558.2700000000000000000000000000,36623.6000000000000000000000000000,36487.0000000000000000000000000000,36612.8900000000000000000000000000,48.45029100,1771102.010000000000000000,1699910700000
1699910700000,36612.8900000000000000000000000000,36669.6200000000000000000000000000,36550.5100000000000000000000000000,36560.0100000000000000000000000000,47.31412100,1732540.180000000000000000,1699911000000
1699911000000,36560.0100000000000000000000000000,36575.2800000000000000000000000000,36366.0000000000000000000000000000,36374.1400000000000000000000000000,50.78567600,1853181.840000000000000000,1699911300000
1699911300000,36374.1400000000000000000000000000,36509.8300000000000000000000000000,36334.6500000000000000000000000000,36503.0100000000000000000000000000,54.40975400,1982278.240000000000000000,1699911600000
1699911600000,36503.0100000000000000000000000000,36516.8200000000000000000000000000,36383.8000000000000000000000000000,36451.3900000000000000000000000000,59.36886600,2164353.510000000000000000,1699911900000
1699911900000,36451.3900000000000000000000000000,36540.0000000000000000000000000000,36447.3900000000000000000000000000,36527.3600000000000000000000000000,39.86266500,1455503.710000000000000000,1699912200000
1699912200000,36527.3600000000000000000000000000,36531.6200000000000000000000000000,36426.6200000000000000000000000000,36480.1600000000000000000000000000,51.20513300,1867214.740000000000000000,1699912500000
1699912500000,36480.1600000000000000000000000000,36529.0700000000000000000000000000,36480.0000000000000000000000000000,36480.0000000000000000000000000000,40.74771700,1487236.140000000000000000,1699912800000
1699912800000,36480.0000000000000000000000000000,36532.6200000000000000000000000000,36460.6300000000000000000000000000,36494.1700000000000000000000000000,38.77490400,1415575.810000000000000000,1699913100000
1699913100000,36494.1700000000000000000000000000,36553.3000000000000000000000000000,36482.5700000000000000000000000000,36487.4700000000000000000000000000,39.09021100,1427561.470000000000000000,1699913400000
1699913400000,36487.4700000000000000000000000000,36496.6900000000000000000000000000,36443.5900000000000000000000000000,36490.1500000000000000000000000000,27.89693700,1017471.210000000000000000,1699913700000
1699913700000,36490.1500000000000000000000000000,36534.3100000000000000000000000000,36452.8600000000000000000000000000,36533.2500000000000000000000000000,32.87580400,1199421.820000000000000000,1699914000000
1699914000000,36533.2500000000000000000000000000,36546.6400000000000000000000000000,36499.6300000000000000000000000000,36507.3500000000000000000000000000,32.26754200,1178628.470000000000000000,1699914300000
1699914300000,36507.3500000000000000000000000000,36563.2100000000000000000000000000,36504.7000000000000000000000000000,36551.9800000000000000000000000000,23.86612500,871861.430000000000000000,1699914600000
1699914600000,36551.9800000000000000000000000000,36600.6500000000000000000000000000,36551.9700000000000000000000000000,36591.8800000000000000000000000000,27.54309600,1007528.980000000000000000,1699914900000
1699914900000,36591.8800000000000000000000000000,36605.4700000000000000000000000000,36569.9800000000000000000000000000,36577.0600000000000000000000000000,27.10629200,991754.960000000000000000,1699915200000
