open_time,open,high,low,close,volume,amount,close_time
1700668800000,36485.8900000000000000000000000000,36534.0600000000000000000000000000,36463.5300000000000000000000000000,36534.0600000000000000000000000000,36.48810500,1331151.340000000000000000,1700669100000
1700669100000,36534.0600000000000000000000000000,36580.2800000000000000000000000000,36516.0200000000000000000000000000,36544.4500000000000000000000000000,41.03351700,1499958.000000000000000000,1700669400000
1700669400000,36544.4500000000000000000000000000,36576.0000000000000000000000000000,36510.3300000000000000000000000000,36511.9900000000000000000000000000,31.19114200,1139765.080000000000000000,1700669700000
1700669700000,36511.9900000000000000000000000000,36516.0800000000000000000000000000,36455.1200000000000000000000000000,36459.1500000000000000000000000000,41.74661900,1522825.870000000000000000,1700670000000
1700670000000,36459.1500000000000000000000000000,36476.9300000000000000000000000000,36451.6100000000000000000000000000,36453.2500000000000000000000000000,33.76557100,1231181.990000000000000000,1700670300000
1700670300000,36453.2500000000000000000000000000,36478.0000000000000000000000000000,36445.8300000000000000000000000000,36448.3600000000000000000000000000,29.60436700,1079503.750000000000000000,1700670600000
1700670600000,36448.3600000000000000000000000000,36479.4600000000000000000000000000,36448.3500000000000000000000000000,36475.7600000000000000000000000000,34.11744400,1244130.620000000000000000,1700670900000
1700670900000,36475.7600000000000000000000000000,36482.7100000000000000000000000000,36397.6700000000000000000000000000,36404.0000000000000000000000000000,33.75397500,1229423.610000000000000000,1700671200000
1700671200000,36404.0000000000000000000000000000,36448.8300000000000000000000000000,36388.1400000000000000000000000000,36448.8200000000000000000000000000,25.42033000,925741.530000000000000000,1700671500000
1700671500000,36448.8200000000000000000000000000,36455.8100000000000000000000000000,36373.0000000000000000000000000000,36391.3800000000000000000000000000,36.08178200,1313882.400000000000000000,1700671800000
1700671800000,36391.3800000000000000000000000000,36430.0000000000000000000000000000,36384.6100000000000000000000000000,36390.0000000000000000000000000000,29.58310100,1076936.830000000000000000,1700672100000
1700672100000,36390.0000000000000000000000000000,36470.4600000000000000000000000000,36372.5900000000000000000000000000,36464.9900000000000000000000000000,42.01284900,1530304.430000000000000000,1700672400000
1700672400000,36464.9900000000000000000000000000,36525.0000000000000000000000000000,36456.4200000000000000000000000000,36513.8400000000000000000000000000,46.16142300,1684543.970000000000000000,1700672700000
1700672700000,36513.8400000000000000000000000000,36523.6700000000000000000000000000,36471.4200000000000000000000000000,36499.1800000000000000000000000000,31.41524600,1146452.080000000000000000,1700673000000
1700673000000,36499.1800000000000000000000000000,36536.0000000000000000000000000000,36494.8300000000000000000000000000,36494.8500000000000000000000000000,29.16098800,1064727.590000000000000000,1700673300000
1700673300000,36494.8500000000000000000000000000,36556.0000000000000000000000000000,36475.0000000000000000000000000000,36556.0000000000000000000000000000,31.12959100,1136818.320000000000000000,1700673600000
1700673600000,36556.0000000000000000000000000000,36593.0400000000000000000000000000,36534.4800000000000000000000000000,36546.6800000000000000000000000000,44.47004600,1626235.320000000000000000,1700673900000
1700673900000,36546.6800000000000000000000000000,36583.3800000000000000000000000000,36535.9800000000000000000000000000,36583.3800000000000000000000000000,38.53857200,1409066.790000000000000000,1700674200000
1700674200000,36583.3800000000000000000000000000,36600.0000000000000000000000000000,36561.1000000000000000000000000000,36599.9900000000000000000000000000,37.25333800,1362851.820000000000000000,1700674500000
1700674500000,36599.9900000000000000000000000000,36638.4300000000000000000000000000,36593.4700000000000000000000000000,36636.3900000000000000000000000000,44.68848100,1636573.540000000000000000,1700674800000
1700674800000,36636.3900000000000000000000000000,36636.3900000000000000000000000000,36537.5600000000000000000000000000,36550.0000000000000000000000000000,45.23779100,1655232.640000000000000000,1700675100000
1700675100000,36550.0000000000000000000000000000,36579.1400000000000000000000000000,36533.6200000000000000000000000000,36533.6300000000000000000000000000,37.25319700,1361768.790000000000000000,1700675400000
1700675400000,36533.6300000000000000000000000000,36562.0000000000000000000000000000,36526.3200000000000000000000000000,36557.9800000000000000000000000000,37.43818700,1368223.620000000000000000,1700675700000
1700675700000,36557.9800000000000000000000000000,36589.9700000000000000000000000000,36546.5300000000000000000000000000,36586.7500000000000000000000000000,34.51121700,1261882.030000000000000000,1700676000000
